slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
10_OOU198_EC-SC.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
11_OOU217_EC-SC.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
12_OOU282_CC_1000022.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
13_OOU306_EC-SC.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
14_OOU324_EC-SC.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
15_OOU325_SC-CC_1000023.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
16_OOU470_MC_1000050.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
17_OOU495_SC_1000019.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
18_OOU508_EC_1000038.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
19_OOU516_SC-CC_1000044.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
1_OOU6_EC-SC_1000042.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
20_OOU518_EC_1000045.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
21_OOU522_SC-CC_1000031.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
22_OOU525_EC_1000017.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
23_OOU528_EC_1000018.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
24_OOU529_MC_1000048.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
25_OOU531_SC_1000020.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
26_OOU532_SC_1000021.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
27_OOU533_CC_1000053.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
28_OOU536_SC_1000052.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
29_OOU537_CC_rescan.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
2_OOU25_MC_1000054.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
30_OOU538_SC_1000051.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
31_OOU326_EC-SC_1000027.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
32_OOU396_SC-CC_1000036.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
33_OOU411_SC-CC_rescan.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
34_OOU480_EC_1000046.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
35_OOU494_CC_1000047.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
36_VOA351_LGSC.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
37_VOA440_LGSC.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
38_VOA495_LGSC.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
39_VOA617_LGSC.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
3_OOU58_CC_1000049.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
40_VOA729_LGSC.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
4_OOU63_MC_1000037.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
5_OOU84_MC_1000034.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
6_OOU88_EC-SC_1000029.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
7_OOU169_EC-SC_1000033.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
8_OOU170_EC-SC_.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
9_OOU185_EC-SC_.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
