epoch,train_loss,train_acc,val_loss,val_acc
0,1.5696,0.2825,1.6203,0.1948
1,1.4993,0.3262,1.7182,0.2969
2,1.3513,0.4110,1.8633,0.3244
3,1.2413,0.4730,1.7068,0.3684
4,1.1483,0.5210,1.6690,0.4233
5,1.0552,0.5713,1.7663,0.3854
6,0.9638,0.6132,2.0084,0.3962
7,0.8947,0.6413,2.0851,0.4164
8,0.8348,0.6698,2.0887,0.4267
9,0.7841,0.6877,2.0795,0.4410
10,0.7407,0.7081,2.2604,0.4347
11,0.7054,0.7204,2.1839,0.4505
12,0.6687,0.7356,2.3742,0.4287
13,0.6452,0.7460,2.3024,0.4449
14,0.6154,0.7572,2.5434,0.4299
15,0.5970,0.7650,2.5458,0.4381
16,0.5756,0.7734,2.4728,0.4552
17,0.5643,0.7768,2.6723,0.4252
18,0.5452,0.7856,2.6376,0.4317
19,0.5264,0.7948,2.4701,0.4507
20,0.5231,0.7943,2.6469,0.4466
21,0.5108,0.8011,2.6222,0.4261
22,0.5004,0.8048,2.8015,0.4385
23,0.4979,0.8050,2.5334,0.4442
24,0.4885,0.8099,2.6557,0.4393
25,0.4864,0.8095,2.6945,0.4395
26,0.4807,0.8127,2.7395,0.4449
27,0.4745,0.8154,2.6316,0.4470
28,0.4708,0.8154,2.6065,0.4496
29,0.4655,0.8185,2.7143,0.4425
30,0.4676,0.8190,2.5977,0.4456
31,0.4646,0.8174,2.5747,0.4442
32,0.4613,0.8215,2.6840,0.4456
33,0.4595,0.8198,2.7549,0.4374
34,0.4575,0.8216,2.7512,0.4406
35,0.4509,0.8253,2.7658,0.4400
36,0.4529,0.8227,2.7106,0.4482
37,0.4569,0.8227,2.5489,0.4472
38,0.4524,0.8245,2.6167,0.4447
39,0.4566,0.8209,2.6018,0.4435
40,0.4512,0.8240,2.7823,0.4379
41,0.4507,0.8222,2.7319,0.4452
42,0.4537,0.8226,2.7069,0.4411
43,0.4537,0.8223,2.8218,0.4427
44,0.4512,0.8245,2.7741,0.4415
45,0.4544,0.8226,2.6590,0.4421
46,0.4536,0.8235,2.7194,0.4445
47,0.4514,0.8229,2.6591,0.4487
48,0.4530,0.8241,2.6728,0.4417
49,0.4552,0.8224,2.8318,0.4434
50,0.4529,0.8239,2.7432,0.4422
51,0.4530,0.8239,2.7312,0.4444
52,0.4489,0.8255,2.6740,0.4457
53,0.4492,0.8250,2.9417,0.4401
54,0.4508,0.8246,2.6410,0.4446
55,0.4493,0.8247,2.7602,0.4495
56,0.4499,0.8249,2.8070,0.4404
57,0.4514,0.8256,2.7267,0.4379
58,0.4507,0.8250,2.7235,0.4440
59,0.4537,0.8249,2.7165,0.4435
60,0.4523,0.8235,2.7825,0.4420
61,0.4521,0.8238,2.6597,0.4427
62,0.4527,0.8229,2.6560,0.4439
63,0.4480,0.8257,2.7590,0.4390
64,0.4478,0.8251,2.7297,0.4466
65,0.4535,0.8224,2.7478,0.4378
66,0.4512,0.8244,2.6589,0.4421
67,0.4527,0.8225,2.7538,0.4451
68,0.4528,0.8227,2.8229,0.4394
69,0.4520,0.8239,2.7797,0.4431
70,0.4476,0.8244,2.8276,0.4422
71,0.4485,0.8240,2.7610,0.4449
72,0.4489,0.8257,2.7630,0.4411
73,0.4491,0.8255,2.7694,0.4405
74,0.4510,0.8245,2.6406,0.4430
75,0.4498,0.8253,2.6386,0.4425
76,0.4507,0.8241,2.7683,0.4459
77,0.4501,0.8255,2.7544,0.4415
78,0.4510,0.8248,2.6960,0.4446
79,0.4493,0.8253,2.7029,0.4467
80,0.4478,0.8248,2.5860,0.4444
81,0.4529,0.8247,2.7473,0.4436
82,0.4474,0.8250,2.7601,0.4451
83,0.4526,0.8229,2.5934,0.4465
84,0.4514,0.8238,2.6892,0.4436
85,0.4517,0.8237,2.7632,0.4507
86,0.4520,0.8243,2.6010,0.4549
87,0.4487,0.8259,2.6763,0.4429
88,0.4492,0.8239,2.7202,0.4416
89,0.4464,0.8259,2.7606,0.4420
90,0.4508,0.8251,2.7505,0.4450
91,0.4519,0.8246,2.6556,0.4461
92,0.4527,0.8238,2.6713,0.4442
93,0.4506,0.8248,2.8448,0.4374
94,0.4478,0.8251,2.7524,0.4442
95,0.4479,0.8251,2.7375,0.4502
96,0.4480,0.8246,2.7001,0.4422
97,0.4523,0.8234,2.7045,0.4434
98,0.4493,0.8247,2.7259,0.4459
99,0.4495,0.8232,2.7865,0.4389
